time,ACCESS-CM2,CESM2-WACCM,NORESM2-MM,GFDL-ESM4,CANESM5,EC-EARTH3-VEG,IPSL-CM6A-LR,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,CESM2,BCC-CSM2-MR,MRI-ESM2-0,EC-EARTH3,TAIESM1,INM-CM4-8,ACCESS-ESM1-5,CAMS-CSM1-0,FGOALS-F3-L
2067.0,10357741000000.0,10038707000000.0,10687256000000.0,11301177000000.0,8812890000000.0,8326109000000.0,10423052000000.0,11814401000000.0,8759840600000.0,11053067000000.0,9180043000000.0,11120213000000.0,9782961000000.0,8021318000000.0,6580802000000.0,10465444000000.0,10526348000000.0,11637383000000.0,11266332000000.0
2068.0,10237359000000.0,9955170000000.0,10535739000000.0,11192837000000.0,8668192000000.0,8125706000000.0,10278373000000.0,11721246000000.0,8508668400000.0,10968215000000.0,9036644000000.0,11020624000000.0,9636546000000.0,7810020000000.0,6413978400000.0,10358538000000.0,10433029000000.0,11577749000000.0,11187328000000.0
2069.0,10093255000000.0,9796602000000.0,10443257000000.0,11097772000000.0,8494533000000.0,7910612500000.0,10156163000000.0,11626565000000.0,8238670000000.0,10917018000000.0,8868285000000.0,10922631000000.0,9508558000000.0,7617263000000.0,6218342000000.0,10248267000000.0,10352043000000.0,11513455000000.0,11090612000000.0
2070.0,9984355000000.0,9639461000000.0,10323052000000.0,10993906000000.0,8330717000000.0,7727552000000.0,10017474000000.0,11575442000000.0,8014703000000.0,10834714000000.0,8711959000000.0,10805700000000.0,9382034000000.0,7401027700000.0,6053566600000.0,10127216000000.0,10218765000000.0,11456930000000.0,11001138000000.0
2071.0,9868155000000.0,9495274000000.0,10181151000000.0,10942011000000.0,8146049300000.0,7545387000000.0,9928396000000.0,11507830000000.0,7872202700000.0,10735036000000.0,8551562500000.0,10671113000000.0,9239854000000.0,7208336600000.0,5868085000000.0,10022278000000.0,10093806000000.0,11382205000000.0,10922049000000.0
2072.0,9713726000000.0,9359090000000.0,10062538000000.0,10852644000000.0,7915974400000.0,7309120500000.0,9783341000000.0,11410115000000.0,7682253000000.0,10626327000000.0,8419692000000.0,10554409000000.0,9086543000000.0,7028601000000.0,5685524000000.0,9895833000000.0,9987418000000.0,11289163000000.0,10787614000000.0
2073.0,9560899000000.0,9206273000000.0,9921967000000.0,10790172000000.0,7761177300000.0,7084978000000.0,9723243000000.0,11349750000000.0,7439504000000.0,10562509000000.0,8256493700000.0,10423191000000.0,8946909000000.0,6836332300000.0,5534871000000.0,9786528000000.0,9867410000000.0,11237149000000.0,10692288000000.0
2074.0,9452653000000.0,9061984000000.0,9806118000000.0,10728667000000.0,7554137000000.0,6884116400000.0,9580552000000.0,11288837000000.0,7234719000000.0,10501755000000.0,8122345000000.0,10271349000000.0,8789149400000.0,6636451700000.0,5354714000000.0,9669666000000.0,9712335000000.0,11148398000000.0,10532928000000.0
2075.0,9307892000000.0,8888507000000.0,9665326000000.0,10631209000000.0,7385641000000.0,6666512000000.0,9468882000000.0,11168682000000.0,7022477000000.0,10385584000000.0,7951583000000.0,10154468000000.0,8649438700000.0,6424138000000.0,5177799000000.0,9592609000000.0,9582503000000.0,11081055000000.0,10410088000000.0
2076.0,9168483000000.0,8726206000000.0,9571931000000.0,10576614000000.0,7152339000000.0,6428476600000.0,9357332000000.0,11057067000000.0,6808380000000.0,10267243000000.0,7789019000000.0,10082845000000.0,8514476000000.0,6238492000000.0,5019861500000.0,9471896000000.0,9483512000000.0,10989125000000.0,10279141000000.0
2077.0,9059548000000.0,8589730000000.0,9439808000000.0,10494231000000.0,6939488000000.0,6195637000000.0,9213797000000.0,10945253000000.0,6634550000000.0,10164268000000.0,7624862500000.0,9977555000000.0,8325378000000.0,6012952600000.0,4850825300000.0,9378969000000.0,9381602000000.0,10919222000000.0,10148833000000.0
2078.0,8908671000000.0,8391085000000.0,9326144000000.0,10434410000000.0,6776648400000.0,5941265000000.0,9101753000000.0,10851234000000.0,6377577000000.0,10085848000000.0,7465258000000.0,9865824000000.0,8215628000000.0,5812413000000.0,4695771000000.0,9283312000000.0,9275136000000.0,10888737000000.0,10056302000000.0
2079.0,8755855000000.0,8212383300000.0,9194684000000.0,10342885000000.0,6566897000000.0,5727392400000.0,8974623000000.0,10776254000000.0,6158927000000.0,9991276000000.0,7304070000000.0,9710932000000.0,8038447000000.0,5628798000000.0,4537245500000.0,9167264000000.0,9157677000000.0,10834918000000.0,9943660000000.0
2080.0,8595105000000.0,8034548000000.0,9041396000000.0,10278286000000.0,6414761700000.0,5503230400000.0,8865518000000.0,10690649000000.0,5907629000000.0,9897149000000.0,7142537000000.0,9587584000000.0,7876273000000.0,5411468500000.0,4368622000000.0,9096646000000.0,9027720000000.0,10721905000000.0,9808218000000.0
