time,IPSL-CM6A-LR,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,MRI-ESM2-0,CANESM5
2268.0,1385648400.0,2276253.5,2134929.5,5694354.5,2591784.8,2177651.8
2269.0,1381034500.0,2612644.0,2134587.8,5691806.5,2591577.8,2176221.0
2270.0,1378260900.0,2598706.2,2134568.0,5689479.5,2588674.2,2175225.8
2271.0,1372108800.0,2275542.0,2133710.5,5685960.0,2915809.8,2173747.0
2272.0,1350037900.0,2278037.8,2130576.8,5686396.0,2595677.2,2157093.8
2273.0,1345504900.0,2277731.5,2128747.0,5687410.0,2591804.2,2155774.0
2274.0,1345772200.0,2278321.5,2125531.2,5688279.0,2589754.2,1706051.4
2275.0,1329133200.0,2337402.0,2101192.8,5677837.0,2583030.2,1705790.8
2276.0,1325379600.0,2289409.0,2098738.2,5711013.5,2586681.5,1706093.8
2277.0,1308521300.0,2512019.0,2099903.8,5693084.5,2583232.0,1705582.4
2278.0,1380385000.0,8529339.0,2071574.6,5686770.0,2582793.2,1705402.9
2279.0,1304920400.0,2341894.2,2069285.6,5678737.5,2740982.5,1704871.1
2280.0,1282583200.0,2296773.8,2054975.6,5679482.0,2586666.0,1704771.6
2281.0,1387019800.0,2287517.8,2054123.6,5675170.5,2591804.0,1705256.6
2282.0,1279083000.0,2288252.2,2050227.4,5676945.0,2590463.8,1703061.1
2283.0,1279474800.0,2332108.5,2048083.1,5632456.5,2590771.8,1703438.6
2284.0,1250574700.0,2346879.2,2041968.9,5638075.0,2859476.2,1702855.4
2285.0,1236075500.0,2296656.2,2037996.1,5634990.0,2591208.2,1703677.4
2286.0,1217131300.0,2299676.2,2014902.5,5629940.0,2588854.8,1704868.6
2287.0,1226490600.0,2288951.8,2001219.8,5637624.5,2590168.2,1705484.6
2288.0,1214011300.0,2308264.0,1999278.0,5639086.5,2572474.0,1707140.6
2289.0,1454697200.0,2283092.2,1975963.5,5636455.5,2570097.2,1706296.4
2290.0,1375682200.0,2290433.0,1973878.5,5633841.0,2568392.0,1705511.4
2291.0,1215599000.0,3053349.2,1971922.2,5632145.5,2569220.8,1704411.9
2292.0,1196588400.0,3468212.0,1954798.0,5471300.0,2571016.8,1703060.4
2293.0,1193010800.0,2280123.5,1954303.0,5469553.0,2589379.8,1701537.1
2294.0,1190920100.0,2276108.5,1952855.0,5467674.0,2567783.2,1700773.9
2295.0,1491407000.0,2441421.8,1953762.0,5465417.0,2569744.5,1700704.6
2296.0,1209187100.0,2273812.8,1955018.0,5468065.5,2564087.8,1700895.8
2297.0,1187767900.0,2276847.8,1955066.5,5470267.0,2566607.8,1701178.9
2298.0,1186234000.0,2271704.5,1954369.5,5467142.0,2568628.5,1699613.9
2299.0,1166791600.0,2274238.0,1957499.5,5462334.0,2569176.8,1698860.9
2300.0,1153668200.0,2275194.2,1959332.0,5456105.5,2560860.5,1697512.4
