time,ACCESS-ESM1-5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR,CANESM5,MRI-ESM2-0
2212.0,1906098800.0,1867842300.0,1000603840.0,4240606200.0,9846571000.0,6829167600.0
2213.0,1871374000.0,1830253800.0,996229570.0,4221073400.0,9817270000.0,6717411300.0
2214.0,1830438100.0,1821017900.0,1007781000.0,4119739000.0,9776167000.0,6646914600.0
2215.0,1825237400.0,1882724600.0,980620800.0,3800465000.0,9702518000.0,6524907500.0
2216.0,1853832400.0,1834738400.0,980189630.0,3383780400.0,9609241000.0,6463223300.0
2217.0,1805915600.0,1793804800.0,977211500.0,3370731500.0,9558369000.0,6417776000.0
2218.0,1853639700.0,1793596500.0,972620600.0,3391725300.0,9484573000.0,6286066700.0
2219.0,1824364700.0,1786760700.0,967648600.0,3492551000.0,9445660000.0,6147659300.0
2220.0,1828447700.0,1852531800.0,954354000.0,3432377900.0,9381348000.0,5948594000.0
2221.0,1813336400.0,1767077500.0,941851600.0,2951611100.0,9308722000.0,5907428000.0
2222.0,1781942000.0,1831283100.0,939654000.0,1965331200.0,9235875000.0,5854515700.0
2223.0,1784983400.0,1771404300.0,934858000.0,2279271000.0,9096338000.0,5811250000.0
2224.0,2004442800.0,1788388000.0,927815400.0,2195137500.0,8917105000.0,5740879000.0
2225.0,1789336700.0,1757111400.0,913670600.0,1421397400.0,8877517000.0,5584767500.0
2226.0,1770661800.0,1746570100.0,912221760.0,1288417200.0,8818452000.0,5353067000.0
2227.0,1732839400.0,1741666300.0,906215500.0,1164859600.0,8774636000.0,5235316700.0
2228.0,1724000900.0,1732420000.0,927409000.0,1337906300.0,8759961000.0,5042607600.0
2229.0,1717488400.0,1737380900.0,907060400.0,1931839100.0,8699345000.0,4853247000.0
2230.0,1715683200.0,1709801900.0,915410100.0,2096705700.0,8709844000.0,4721261600.0
2231.0,1719601700.0,1692050700.0,896379500.0,1730444000.0,8644314000.0,4623159000.0
2232.0,1713941400.0,1691285800.0,896774100.0,1422297900.0,8618186000.0,4563848700.0
2233.0,1675227900.0,1678937500.0,892862100.0,1503527200.0,8615542000.0,4515398000.0
2234.0,1789631500.0,1669307400.0,921697100.0,994838200.0,8577037300.0,4466483700.0
2235.0,1668602200.0,1694357900.0,887827500.0,983520060.0,8564716000.0,4319956500.0
