time,NORESM2-MM,INM-CM4-8,INM-CM5-0,EC-EARTH3,CESM2,CAMS-CSM1-0,ACCESS-CM2,CESM2-WACCM,CANESM5,EC-EARTH3-VEG,ACCESS-ESM1-5,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,FGOALS-F3-L,BCC-CSM2-MR
2076.0,1923779700000.0,2054947500000.0,1863917100000.0,1038597950000.0,1692293100000.0,2255549000000.0,1575043300000.0,1803155900000.0,1626840000000.0,1834641400000.0,1759855800000.0,1826872800000.0,1712483500000.0,2128364600000.0,1903479400000.0,1846925500000.0,1739871900000.0
2077.0,1918658000000.0,2045321400000.0,1858844000000.0,1024367460000.0,1671943400000.0,2242177100000.0,1567408800000.0,1790926900000.0,1618762400000.0,1832040100000.0,1742753500000.0,1814635200000.0,1701891000000.0,2119797600000.0,1903248500000.0,1841245800000.0,1715715400000.0
2078.0,1903512000000.0,2035695600000.0,1839676700000.0,1001469700000.0,1659454600000.0,2234029700000.0,1551436200000.0,1776652300000.0,1606989400000.0,1814537800000.0,1726704600000.0,1795875900000.0,1687464300000.0,2103187200000.0,1905588600000.0,1842207900000.0,1693663500000.0
2079.0,1895398200000.0,2015801900000.0,1822510200000.0,993841840000.0,1637805500000.0,2222217000000.0,1535315300000.0,1759390600000.0,1592556900000.0,1787550500000.0,1713159100000.0,1779552900000.0,1683765900000.0,2096320300000.0,1908647800000.0,1835196900000.0,1674157800000.0
2080.0,1874918800000.0,2006184500000.0,1808082500000.0,985809500000.0,1622418000000.0,2219954000000.0,1526290000000.0,1754110500000.0,1574170000000.0,1761500900000.0,1696091300000.0,1769521400000.0,1670693700000.0,2088069900000.0,1895090600000.0,1823944000000.0,1660404900000.0
2081.0,1859877000000.0,1986884800000.0,1792212200000.0,971202400000.0,1607787600000.0,2212846400000.0,1509400800000.0,1735628200000.0,1566820700000.0,1749351300000.0,1684172400000.0,1756229000000.0,1666532400000.0,2071918700000.0,1905305200000.0,1823923400000.0,1655725200000.0
2082.0,1840745700000.0,1969562500000.0,1778478700000.0,954315960000.0,1602101600000.0,2203677600000.0,1489176200000.0,1714069800000.0,1562485900000.0,1745641000000.0,1675316600000.0,1735950200000.0,1648555300000.0,2059541200000.0,1894972900000.0,1813710200000.0,1633966100000.0
2083.0,1832067000000.0,1973214200000.0,1761679000000.0,950495300000.0,1585431300000.0,2190726900000.0,1474968000000.0,1695920400000.0,1552297500000.0,1731857600000.0,1667241300000.0,1718093300000.0,1634339800000.0,2039322500000.0,1888854000000.0,1801886800000.0,1621147600000.0
2084.0,1809518800000.0,1970759700000.0,1750095000000.0,946029460000.0,1572992000000.0,2197924600000.0,1459341500000.0,1697085500000.0,1529104400000.0,1705463900000.0,1658872300000.0,1713145100000.0,1628794500000.0,2028695300000.0,1871745000000.0,1790757200000.0,1609389000000.0
2085.0,1810088900000.0,1964043300000.0,1754725400000.0,925734000000.0,1564819200000.0,2180569400000.0,1440635200000.0,1690034200000.0,1528117000000.0,1683113200000.0,1649519200000.0,1698720100000.0,1627467700000.0,2022013700000.0,1840658800000.0,1785057800000.0,1593771600000.0
2086.0,1804215600000.0,1952108800000.0,1745369000000.0,909720200000.0,1545982200000.0,2181661900000.0,1420133100000.0,1678111000000.0,1530353400000.0,1660359100000.0,1647501400000.0,1684414700000.0,1623177800000.0,2024266400000.0,1828667300000.0,1787452000000.0,1577695000000.0
2087.0,1779773500000.0,1939078100000.0,1735385400000.0,897945900000.0,1533776600000.0,2171127100000.0,1403366000000.0,1671999100000.0,1540214400000.0,1636322900000.0,1636788700000.0,1667455900000.0,1618424100000.0,2018146300000.0,1818761400000.0,1770988000000.0,1567838300000.0
2088.0,1759496400000.0,1925712400000.0,1729101600000.0,891541600000.0,1524239600000.0,2161657400000.0,1393595100000.0,1663382600000.0,1519318900000.0,1607031800000.0,1620590600000.0,1656256500000.0,1605519800000.0,2014610600000.0,1818017700000.0,1758266100000.0,1549546200000.0
2089.0,1747945800000.0,1919393300000.0,1716729700000.0,891758300000.0,1518753800000.0,2155102900000.0,1384853800000.0,1647056400000.0,1514742600000.0,1594681900000.0,1595688200000.0,1647576900000.0,1598207600000.0,2001152800000.0,1815578300000.0,1749461800000.0,1545015700000.0
