time,MRI-ESM2-0,EC-EARTH3,CESM2-WACCM,INM-CM4-8,FGOALS-F3-L,NORESM2-MM,EC-EARTH3-VEG,INM-CM5-0,CESM2,MPI-ESM1-2-HR,CAMS-CSM1-0,BCC-CSM2-MR,GFDL-ESM4
2089.0,833279030000.0,658872400000.0,894595700000.0,1141695800000.0,767867700000.0,973265300000.0,1009938900000.0,943849900000.0,847439100000.0,975207300000.0,1183717000000.0,599586400000.0,976673000000.0
2090.0,814852500000.0,640716200000.0,871129150000.0,1115544900000.0,742604900000.0,948239470000.0,976977400000.0,931936860000.0,825490500000.0,954675600000.0,1151770600000.0,574647400000.0,954896900000.0
2091.0,796415160000.0,618325600000.0,852797800000.0,1092254600000.0,728383600000.0,918671200000.0,943636000000.0,910705400000.0,803980250000.0,924420150000.0,1129574000000.0,551902700000.0,937689200000.0
2092.0,776964340000.0,597668660000.0,827040300000.0,1064862100000.0,711013800000.0,888143150000.0,901922900000.0,890087600000.0,784427800000.0,896805200000.0,1104806500000.0,530587350000.0,921349500000.0
2093.0,758205600000.0,574696400000.0,803247100000.0,1043984400000.0,690576700000.0,863236500000.0,879013400000.0,868356460000.0,761020150000.0,873560800000.0,1079477500000.0,511183700000.0,892809700000.0
2094.0,739258500000.0,555993860000.0,787304400000.0,1017214600000.0,674660350000.0,843399000000.0,848351300000.0,840872000000.0,735753860000.0,847263600000.0,1060181050000.0,493370900000.0,870483100000.0
2095.0,716685400000.0,536646420000.0,762224400000.0,997406740000.0,653423540000.0,823951360000.0,816299840000.0,818224900000.0,717137100000.0,823622040000.0,1039568670000.0,473793700000.0,852576240000.0
2096.0,701475700000.0,512861500000.0,743339000000.0,964856400000.0,632771800000.0,798911200000.0,791152600000.0,794336300000.0,693710600000.0,798599100000.0,1020095760000.0,455152040000.0,833368360000.0
2097.0,685184800000.0,493250900000.0,722447500000.0,950070350000.0,613482400000.0,775218800000.0,764282700000.0,779555050000.0,668883400000.0,771446200000.0,991304300000.0,436558700000.0,816272800000.0
2098.0,669990000000.0,477100100000.0,705078600000.0,928888060000.0,593845550000.0,753363500000.0,737787300000.0,761273400000.0,649826600000.0,745672700000.0,965986500000.0,420983770000.0,799158960000.0
2099.0,654951100000.0,460337300000.0,686583400000.0,908974750000.0,573190240000.0,740140900000.0,708619340000.0,743824600000.0,628580200000.0,727817600000.0,933693300000.0,402446250000.0,782670040000.0
2100.0,634789600000.0,444075100000.0,661346100000.0,886957200000.0,555938900000.0,724862000000.0,684566640000.0,724448600000.0,613882900000.0,702732500000.0,921874300000.0,384554370000.0,764641350000.0
