time,MIROC6,UKESM1-0-LL,IPSL-CM6A-LR,CNRM-ESM2-1,CNRM-CM6-1,KACE-1-0-G,GFDL-ESM4,IITM-ESM,MRI-ESM2-0,TAIESM1,MPI-ESM1-2-HR,CESM2-WACCM,CANESM5,EC-EARTH3
2086.0,99647920000.0,90813700000.0,98153590000.0,98687720000.0,98540880000.0,96613130000.0,100077900000.0,99405440000.0,99173610000.0,78106690000.0,100980590000.0,96379126000.0,96287270000.0,81543770000.0
2087.0,99463550000.0,90194680000.0,98005205000.0,98505300000.0,98396260000.0,96203060000.0,100019724000.0,99254125000.0,98783584000.0,77458900000.0,100988396000.0,96068320000.0,96024120000.0,81026590000.0
2088.0,99229040000.0,89773760000.0,97853645000.0,98310570000.0,98764510000.0,95926150000.0,99820170000.0,99132180000.0,98958980000.0,76959690000.0,100642200000.0,95767740000.0,95793280000.0,80379820000.0
2089.0,99019900000.0,89487450000.0,97669915000.0,98228780000.0,98124900000.0,95623340000.0,99806670000.0,98918770000.0,99163460000.0,76277375000.0,100442330000.0,95363015000.0,95637600000.0,79855270000.0
2090.0,98877990000.0,89044460000.0,97409860000.0,98817850000.0,98097640000.0,95441800000.0,99580360000.0,98723004000.0,98734080000.0,75802436000.0,100550130000.0,95051830000.0,95541920000.0,79171890000.0
2091.0,98700390000.0,88736735000.0,97127130000.0,98030610000.0,97827540000.0,95179310000.0,99370080000.0,98571310000.0,99026430000.0,75244850000.0,100340130000.0,94795596000.0,95337060000.0,79180580000.0
2092.0,99301840000.0,88286330000.0,97077730000.0,97773550000.0,97729634000.0,94880430000.0,99368714000.0,98418650000.0,98552860000.0,74725060000.0,100279760000.0,94415290000.0,95229010000.0,78158450000.0
2093.0,98540260000.0,88042700000.0,96911180000.0,97461870000.0,97463345000.0,94552830000.0,99350970000.0,98239240000.0,98277230000.0,74303420000.0,100080240000.0,94311784000.0,95004254000.0,77639150000.0
2094.0,98403730000.0,87570500000.0,97320310000.0,97678710000.0,97543820000.0,94181150000.0,99286680000.0,98200486000.0,98563785000.0,73706730000.0,100002100000.0,93944180000.0,95112040000.0,76738480000.0
2095.0,98263370000.0,87162634000.0,96762950000.0,97251660000.0,97090970000.0,93952740000.0,99964264000.0,97918460000.0,98696000000.0,73166540000.0,100060725000.0,93502150000.0,94903530000.0,76213740000.0
2096.0,98153234000.0,86764070000.0,96444380000.0,96927030000.0,96910910000.0,93739230000.0,99185100000.0,97690270000.0,98988540000.0,72534470000.0,100108800000.0,93240470000.0,94481050000.0,75813670000.0
2097.0,98941190000.0,86323540000.0,96276240000.0,97794770000.0,96918360000.0,93759110000.0,99061390000.0,97491890000.0,98167650000.0,71966810000.0,99784310000.0,92968730000.0,94275560000.0,75918250000.0
2098.0,98095866000.0,85940765000.0,95998616000.0,96646590000.0,96561280000.0,93338040000.0,98777850000.0,97352835000.0,97817190000.0,71485560000.0,99691710000.0,92533730000.0,94085450000.0,74988495000.0
2099.0,97917730000.0,85549610000.0,96213115000.0,96386130000.0,96313450000.0,93263500000.0,98579400000.0,97196870000.0,97677930000.0,70823250000.0,99681220000.0,92194190000.0,93827190000.0,74256196000.0
2100.0,97766466000.0,85025200000.0,96622200000.0,96210400000.0,96120250000.0,93371540000.0,98426660000.0,97160840000.0,98039980000.0,70201860000.0,99776135000.0,91795825000.0,93569820000.0,73408450000.0
