time,MRI-ESM2-0,ACCESS-ESM1-5,CANESM5,ACCESS-CM2,CESM2-WACCM,IPSL-CM6A-LR
2251.0,4574408600000.0,1635745400000.0,394808230000.0,544573130000.0,550337600000.0,598593440000.0
2252.0,4603428000000.0,1625997600000.0,392345160000.0,535326980000.0,547907500000.0,597744550000.0
2253.0,4625800400000.0,1615927600000.0,390429440000.0,529447220000.0,545903670000.0,597711260000.0
2254.0,4642660000000.0,1605640900000.0,388580470000.0,521591000000.0,540421620000.0,596415500000.0
2255.0,4657818000000.0,1602281000000.0,385654720000.0,513155430000.0,536653630000.0,597042900000.0
2256.0,4673346500000.0,1590273600000.0,379970850000.0,506185480000.0,531648000000.0,595088100000.0
2257.0,4696250500000.0,1583096100000.0,375026060000.0,500612140000.0,527267270000.0,592790600000.0
2258.0,4708842000000.0,1573035200000.0,373722320000.0,495564500000.0,526429000000.0,594854300000.0
2259.0,4715659700000.0,1563673400000.0,370804950000.0,489225260000.0,522451300000.0,592604200000.0
2260.0,4728835500000.0,1547009800000.0,369632280000.0,482710850000.0,519442240000.0,589839800000.0
2261.0,4732122000000.0,1535627500000.0,366137500000.0,476455370000.0,517925830000.0,591721460000.0
