time,CESM2,CESM2-WACCM,CAMS-CSM1-0,MPI-ESM1-2-HR,CMCC-CM2-SR5,INM-CM5-0,INM-CM4-8,NORESM2-MM,EC-EARTH3,GFDL-ESM4,EC-EARTH3-VEG,BCC-CSM2-MR,FGOALS-F3-L,MRI-ESM2-0
2076.0,26425512000.0,28410757000.0,31032238000.0,30304264000.0,28880400000.0,27172320000.0,29429651000.0,26453471000.0,24133612000.0,30837730000.0,30112248000.0,23692732000.0,27342586000.0,24173046000.0
2077.0,26076064000.0,28026225000.0,30906262000.0,29726372000.0,28283546000.0,26749065000.0,29048973000.0,26719545000.0,23701322000.0,30430839000.0,29290040000.0,23206627000.0,26863081000.0,23523727000.0
2078.0,25937756000.0,27583396000.0,30225865000.0,29056936000.0,27688196000.0,26417123000.0,28704555000.0,25856696000.0,23296561000.0,30085947000.0,28843737000.0,22779259000.0,26543390000.0,23020952000.0
2079.0,25379076000.0,27210334000.0,29791158000.0,28457568000.0,26991147000.0,25969633000.0,28463276000.0,25407345000.0,22985095000.0,29720152000.0,28406882000.0,22434451000.0,26097120000.0,22649035000.0
2080.0,24947700000.0,26871785000.0,29813637000.0,28068766000.0,26339080000.0,25707100000.0,28123181000.0,25281245000.0,22623402000.0,29671205000.0,27987585000.0,22109900000.0,25773556000.0,22425510000.0
2081.0,24620413000.0,26459281000.0,29134363000.0,27595792000.0,26399865000.0,25282090000.0,27708901000.0,24809914000.0,22368805000.0,29126360000.0,27371098000.0,21680753000.0,25336726000.0,22093290000.0
2082.0,24321677000.0,26825020000.0,28750576000.0,27348468000.0,25516095000.0,25017820000.0,27470354000.0,24398465000.0,22051869000.0,28806218000.0,26696337000.0,21335520000.0,25009086000.0,21880906000.0
2083.0,24038500000.0,26283696000.0,28485077000.0,26814601000.0,25009232000.0,24626108000.0,27373880000.0,24122374000.0,21674283000.0,28403565000.0,26184139000.0,20969957000.0,24525062000.0,21707411000.0
2084.0,23790164000.0,25907692000.0,29842596000.0,26365475000.0,24427215000.0,24383324000.0,26755551000.0,23679396000.0,21307330000.0,28063867000.0,25719792000.0,20588775000.0,24130030000.0,21333029000.0
2085.0,23493292000.0,25215597000.0,30936340000.0,25990083000.0,23950848000.0,24117354000.0,26390594000.0,23433610000.0,20993114000.0,27766376000.0,25288425000.0,20391770000.0,23882093000.0,21091783000.0
2086.0,23147508000.0,24798994000.0,28476066000.0,25615530000.0,23408850000.0,23775003000.0,26530070000.0,23134222000.0,20673694000.0,27478485000.0,24779921000.0,20128033000.0,23571930000.0,20860977000.0
2087.0,23150010000.0,24514120000.0,27762575000.0,25167165000.0,22925222000.0,23841616000.0,26177184000.0,22902917000.0,20374204000.0,27045454000.0,24238836000.0,19714222000.0,23345950000.0,20559970000.0
2088.0,22619064000.0,24340349000.0,27377046000.0,24888140000.0,22492617000.0,23214301000.0,25757968000.0,22511073000.0,20014311000.0,26720578000.0,23834345000.0,19329503000.0,23044803000.0,20296346000.0
2089.0,22349367000.0,23902079000.0,27713483000.0,24489535000.0,21975235000.0,22930629000.0,25639200000.0,22297660000.0,19702395000.0,26402263000.0,23432860000.0,19105677000.0,22719543000.0,20012694000.0
2090.0,22037220000.0,23586777000.0,28158260000.0,24219042000.0,21506322000.0,23367130000.0,25312741000.0,22015818000.0,19421446000.0,25984470000.0,23089224000.0,18794152000.0,22455370000.0,19775984000.0
2091.0,21780640000.0,23237892000.0,26777862000.0,23876428000.0,20969574000.0,22733152000.0,25373043000.0,21842800000.0,19194612000.0,25724365000.0,22860247000.0,18429483000.0,22136041000.0,19523138000.0
2092.0,21735459000.0,22904537000.0,26294340000.0,23627580000.0,20542690000.0,22281961000.0,24929430000.0,21524865000.0,18960822000.0,25435324000.0,22370685000.0,18148704000.0,21970620000.0,19268268000.0
2093.0,21521619000.0,22533753000.0,26066633000.0,23244500000.0,20106234000.0,22024258000.0,24704778000.0,21371615000.0,18689620000.0,25136900000.0,21980062000.0,17898152000.0,21624711000.0,19030810000.0
2094.0,21993005000.0,22388066000.0,26063843000.0,22886562000.0,19693793000.0,22074534000.0,24463413000.0,21029726000.0,18466662000.0,24790970000.0,21610207000.0,17571873000.0,21323258000.0,19580688000.0
2095.0,20874846000.0,22014090000.0,26027778000.0,22561753000.0,19321924000.0,21812343000.0,24231033000.0,20762270000.0,18133565000.0,24464456000.0,21315578000.0,17435716000.0,21050003000.0,18711050000.0
2096.0,20539752000.0,22665734000.0,25511137000.0,22190797000.0,18910114000.0,21470090000.0,24012122000.0,20503255000.0,17914604000.0,24256616000.0,21029646000.0,17027042000.0,20893012000.0,18445486000.0
2097.0,20366295000.0,21551055000.0,25201345000.0,21899637000.0,18515909000.0,21267214000.0,23728065000.0,20275104000.0,17637657000.0,23916218000.0,20625885000.0,16766221000.0,20689033000.0,18349705000.0
2098.0,20086118000.0,21300765000.0,24916005000.0,22170114000.0,18162078000.0,21016566000.0,23594758000.0,19984263000.0,17311902000.0,23689837000.0,20264202000.0,16502704000.0,20359567000.0,18114896000.0
2099.0,19778527000.0,21262629000.0,24779490000.0,21520128000.0,17877731000.0,20815000000.0,23316578000.0,19777802000.0,17066872000.0,23363064000.0,19909081000.0,16304946000.0,20140677000.0,17975992000.0
2100.0,19678632000.0,21226387000.0,25361893000.0,21133756000.0,17580980000.0,20650598000.0,23348957000.0,19916384000.0,16932177000.0,23223890000.0,19707804000.0,16054824000.0,20011588000.0,17946528000.0
